||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| dispPosType_left_0 || Model 0_left hand display position || Model 0_Left hand display position (used to specify hidden position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_rightBoth_0 || Model 0_Right hand Display position with both hands || Model 0_Right-handed two-handed display position (used to specify hidden position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_leftBoth_0 || Model 0_ Left hand Display position with both hands || Model 0_ Left-handed two-handed display position (used to specify hidden position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_rightHang_0 || Model 0_ Right hand display position when sword is delivered || Model 0_ Right-handed sword display position (used to specify the non-display position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_leftHang_0 || Model 0_ Display position when delivering the left hand sword || Model 0_ Left hand sword display position (used to specify the non-display position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_right_1 || Model 1_Right hand display position || Model 1_ Right-hand display position (used to specify hidden position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_left_1 || Model 1_left hand display position || Model 1_Left hand display position (used to specify hidden position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_rightBoth_1 || Model 1_Right hand Display position with both hands || Model 1_Right-handed two-handed display position (used to specify hidden position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_leftBoth_1 || Model 1_ Left hand Display position with both hands || Model 1_ Left-handed two-handed display position (used to specify hidden position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_rightHang_1 || Model 1_ Right hand display position when sword is delivered || Model 1_ Right-handed sword display position (used to specify the non-display position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_leftHang_1 || Model 1_ Display position when delivering the left hand sword || Model 1_ Left hand sword display position (used to specify the non-display position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_right_2 || Model 2_Right hand display position || Model 2_ Right-hand display position (used to specify hidden position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_left_2 || Model 2_left hand display position || Model 2_Left hand display position (used to specify hidden position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_rightBoth_2 || Model 2_Right hand Display position with both hands || Model 2_Right-handed two-handed display position (used to specify hidden position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_leftBoth_2 || Model 2_ Left hand Display position with both hands || Model 2_ Left-handed two-handed display position (used to specify hidden position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_rightHang_2 || Model 2_ Right hand display position when sword is delivered || Model 2_Right-handed sword display position (used to specify the non-display position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_leftHang_2 || Model 2_ Display position when delivering the left hand sword || Model 2_ Left hand sword display position (used to specify the non-display position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_right_3 || Model 3_ Right hand display position || Model 3_ Right-hand display position (used to specify hidden position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_left_3 || Model 3_left hand display position || Model 3_Left hand display position (used to specify hidden position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_rightBoth_3 || Model 3_Right hand display position with both hands || Model 3_Right-handed two-handed display position (used to specify hidden position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_leftBoth_3 || Model 3_ Left hand Display position with both hands || Model 3_ Left-handed two-handed display position (used to specify hidden position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_rightHang_3 || Model 3_ Right hand display position when sword is delivered || Model 3_Right-handed sword display position (used to specify the non-display position from TAE) || WEP_DISP_POS_TYPE ||
|| dispPosType_leftHang_3 || Model 3_ Display position when delivering the left hand sword || Model 3_ Left hand sword display position (used to specify the non-display position from TAE) || WEP_DISP_POS_TYPE ||
|| reserve || Reserved area ||  || - ||
