||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| textDisableFlagId6 || Hidden event flag ID || Hidden event flag ID of the text. If the event flag is On, it will not be displayed. It takes precedence over the display event flag ID. If the event flag ID (5) is invalid, it will be treated as Off. || - ||
|| textId7 || Text ID || The text ID to display. If it is an invalid value (-7), nothing is displayed. || - ||
|| textEnableFlagId7 || Occurrence event flag ID || Display text Event flag ID. Display if the event flag is On. If the event flag ID (6) is invalid, it will be treated as On. || - ||
|| textDisableFlagId7 || Hidden event flag ID || Hidden event flag ID of the text. If the event flag is On, it will not be displayed. It takes precedence over the display event flag ID. If the event flag ID (6) is invalid, it will be treated as Off. || - ||
|| textId8 || Text ID || The text ID to display. If it is an invalid value (-8), nothing is displayed. || - ||
|| textEnableFlagId8 || Occurrence event flag ID || Display text Event flag ID. Display if the event flag is On. If the event flag ID (7) is invalid, it will be treated as On. || - ||
|| textDisableFlagId8 || Hidden event flag ID || Hidden event flag ID of the text. If the event flag is On, it will not be displayed. It takes precedence over the display event flag ID. If the event flag ID (7) is invalid, it will be treated as Off. || - ||
|| textType1 || Text type || Text type (place name, NPC name, ...) || WORLD_MAP_POINT_TEXT_TYPE ||
|| textType2 || Text type || Text type (place name, NPC name, ...) || WORLD_MAP_POINT_TEXT_TYPE ||
|| textType3 || Text type || Text type (place name, NPC name, ...) || WORLD_MAP_POINT_TEXT_TYPE ||
|| textType4 || Text type || Text type (place name, NPC name, ...) || WORLD_MAP_POINT_TEXT_TYPE ||
|| textType5 || Text type || Text type (place name, NPC name, ...) || WORLD_MAP_POINT_TEXT_TYPE ||
|| textType6 || Text type || Text type (place name, NPC name, ...) || WORLD_MAP_POINT_TEXT_TYPE ||
|| textType7 || Text type || Text type (place name, NPC name, ...) || WORLD_MAP_POINT_TEXT_TYPE ||
|| textType8 || Text type || Text type (place name, NPC name, ...) || WORLD_MAP_POINT_TEXT_TYPE ||
|| noIgnitionSfxDmypolyId_0 || Before ignition SFX Damipoly ID0 || Damipoli ID that issues SFX before bonfire ignition || - ||
|| noIgnitionSfxId_0 || Before ignition SFXID0 || SFX ID issued before bonfire ignition. It goes out when ignited. In case of -1, SFX is not issued. || - ||
|| noIgnitionSfxDmypolyId_1 || Before ignition SFX Damipoly ID1 || Damipoli ID that issues SFX before bonfire ignition || - ||
|| noIgnitionSfxId_1 || Before ignition SFXID1 || SFX ID issued before bonfire ignition. It goes out when ignited. In case of -1, SFX is not issued. || - ||
|| unkA8 || unkA8 ||  || - ||
|| unkAC || unkAC ||  || - ||
|| unkB0 || unkB0 ||  || - ||
|| unkB4 || unkB4 ||  || - ||
|| unkB8 || unkB8 ||  || - ||
|| unkBC || unkBC ||  || - ||
|| unkC0 || unkC0 ||  || - ||
|| unkC4 || unkC4 ||  || - ||
|| unkC8 || unkC8 ||  || - ||
|| unkCC || unkCC ||  || - ||
|| unkD0 || unkD0 ||  || - ||
|| unkD4 || unkD4 ||  || - ||
|| unkD8 || unkD8 ||  || - ||
|| unkDC || unkDC ||  || - ||
|| unkE0 || unkE0 ||  || - ||
|| unkE4 || unkE4 ||  || - ||
|| unkE8 || unkE8 ||  || - ||
