||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| isValidTough_ProtSADmg || Is the armor SA damage multiplier valid even at the initial value? || Whether the toughness calculation is performed even if the armor SA is the initial value. Check the toughness specification .xlsx for details || MAGIC_BOOL ||
|| isWarpMagic || Is it warp magic? || Is it magic to warp? Magic with a check mark here is prohibited by the special effect "Warp Prohibition". || MAGIC_BOOL ||
|| enableRiding || Can it be used while riding? || Can it be used while riding? || MAGIC_BOOL ||
|| disableRiding || Is it prohibited to use while not riding? || Is it prohibited to use while not riding? || MAGIC_BOOL ||
|| isUseNoAttackRegion || Can it be used in an attack-prohibited area? || Can it be used in an attack-prohibited area? || MAGIC_BOOL ||
|| pad_1 || pading ||  || - ||
|| vowType8 || Pledge 8 || Pledge 8 || MAGIC_BOOL ||
|| vowType9 || Pledge 9 || Pledge 9 || MAGIC_BOOL ||
|| vowType10 || Pledge 10 || Pledge 10 || MAGIC_BOOL ||
|| vowType11 || Pledge 11 || Pledge 11 || MAGIC_BOOL ||
|| vowType12 || Pledge 12 || Pledge 12 || MAGIC_BOOL ||
|| vowType13 || Pledge 13 || Pledge 13 || MAGIC_BOOL ||
|| vowType14 || Pledge 14 || Pledge 14 || MAGIC_BOOL ||
|| vowType15 || Pledge 15 || Pledge 15 || MAGIC_BOOL ||
|| castSfxId || Chanting SFXID || SFXID during magical chanting || - ||
|| fireSfxId || Activate SFXID || SFX ID when magic is activated || - ||
|| effectSfxId || Effect SFXID || SFXID during magic effect || - ||
|| toughnessCorrectRate || Toughness correction factor || It is a magnification that corrects the basic value of toughness. || - ||
|| ReplacementStatusType || Replacement status type || Replacement status type || MAGIC_STATUS_TYPE ||
|| ReplacementStatus1 || Replacement status value 1 || Replacement status value 1 || - ||
|| ReplacementStatus2 || Replacement status value 2 || Replacement status value 2 || - ||
|| ReplacementStatus3 || Replacement status value 3 || Replacement status value 3 || - ||
|| ReplacementStatus4 || Replacement status value 4 || Replacement status value 4 || - ||
|| refCategory5 || ID category || Call ID category [Attack, Projectile, Special Effects] || BEHAVIOR_REF_TYPE ||
|| consumeSA || Consume SA [Normal / Reservoir] || SA consumption [normal / reservoir] || - ||
|| ReplacementMagic1 || Replacement ID1 || Replacement ID1 || - ||
|| ReplacementMagic2 || Replacement ID2 || Replacement ID2 || - ||
|| ReplacementMagic3 || Replacement ID3 || Replacement ID3 || - ||
|| ReplacementMagic4 || Replacement ID 4 || Replacement ID 4 || - ||
|| mp_charge || MP consumption [reservoir] || MP consumption [reservoir] || - ||
|| stamina_charge || Consumption stamina [reservoir] || Consumption stamina [reservoir] || - ||
|| createLimitGroupId || Creation limit group Id || If it is 0, it is unused. Check the number of bullets created for the specified group Id, and if the upper limit is reached, you will not be able to use magic. || - ||
|| refCategory6 || ID category || Call ID category [Attack, Projectile, Special Effects] || BEHAVIOR_REF_TYPE ||
|| subCategory1 || Subcategory 1 || Subcategory 1 || ATK_SUB_CATEGORY ||
|| subCategory2 || Subcategory 2 || Subcategory 2 || ATK_SUB_CATEGORY ||
|| refCategory7 || ID category || Call ID category [Attack, Projectile, Special Effects] || BEHAVIOR_REF_TYPE ||
|| refCategory8 || ID category || Call ID category [Attack, Projectile, Special Effects] || BEHAVIOR_REF_TYPE ||
|| refCategory9 || ID category || Call ID category [Attack, Projectile, Special Effects] || BEHAVIOR_REF_TYPE ||
|| refCategory10 || ID category || Call ID category [Attack, Projectile, Special Effects] || BEHAVIOR_REF_TYPE ||
|| refId1 || Call ID || ID called from magic || - ||
|| refId2 || Call ID || ID called from magic || - ||
|| refId3 || Call ID || ID called from magic || - ||
|| aiUseJudgeId || AI usage judgment ID || AI usage judgment ID || - ||
|| refId4 || Call ID || ID called from magic || - ||
|| refId5 || Call ID || ID called from magic || - ||
|| refId6 || Call ID || ID called from magic || - ||
|| refId7 || Call ID || ID called from magic || - ||
|| refId8 || Call ID || ID called from magic || - ||
|| refId9 || Call ID || ID called from magic || - ||
|| refId10 || Call ID || ID called from magic || - ||
|| consumeType1 || Consumption type || Consumption type || MAGIC_CONSUME_TYPE ||
|| consumeType2 || Consumption type || Consumption type || MAGIC_CONSUME_TYPE ||
|| consumeType3 || Consumption type || Consumption type || MAGIC_CONSUME_TYPE ||
|| consumeType4 || Consumption type || Consumption type || MAGIC_CONSUME_TYPE ||
|| consumeType5 || Consumption type || Consumption type || MAGIC_CONSUME_TYPE ||
|| consumeType6 || Consumption type || Consumption type || MAGIC_CONSUME_TYPE ||
|| consumeType7 || Consumption type || Consumption type || MAGIC_CONSUME_TYPE ||
|| consumeType8 || Consumption type || Consumption type || MAGIC_CONSUME_TYPE ||
|| consumeType9 || Consumption type || Consumption type || MAGIC_CONSUME_TYPE ||
|| consumeType10 || Consumption type || Consumption type || MAGIC_CONSUME_TYPE ||
|| consumeLoopMP_forMenu || MP consumption for menu supplement display || MP consumption for menu supplement display || - ||
|| pad || PAD12 || PAD12 || - ||
